"""diluent for Allergenic Extract Sterile Normal Saline With Phenol (0.4%)""",Alkali metal salts
"""diluent for Allergenic Extract Sterile Normal Saline With Phenol (0.4%)""",Benzene and substituted derivatives
"(extra Strength) Acetaminophen, Caffeine & 8mg Codeine Phosphate Caplets",
"(extra Strength) Acetaminophen, Caffeine & 8mg Codeine Phosphate Caplets",Benzene and substituted derivatives
"(extra Strength) Acetaminophen, Caffeine & 8mg Codeine Phosphate Caplets",Morphinans
"2% Lidocaine and Epinephrine 1:100,000 Injection USP",Benzene and substituted derivatives
"2% Lidocaine and Epinephrine 1:100,000 Injection USP",Carboxylic acids and derivatives
"2% Polocaine Dental With Levonordefrin 1:20,000",Benzene and substituted derivatives
"2% Polocaine Dental With Levonordefrin 1:20,000",Carboxylic acids and derivatives
"4% Astracaine Dental With Epinephrine 1:200,000 (0.005mg/ml)",Benzene and substituted derivatives
"4% Astracaine Dental With Epinephrine 1:200,000 (0.005mg/ml)",N/A
"4% Astracaine Dental With Epinephrine Forte 1:100,000 (0.01mg/ml)",Benzene and substituted derivatives
"4% Astracaine Dental With Epinephrine Forte 1:100,000 (0.01mg/ml)",N/A
"4% Citanest Forte Dental With Epinephrine 1:200,000",Benzene and substituted derivatives
"4% Citanest Forte Dental With Epinephrine 1:200,000",Carboxylic acids and derivatives
"7 Select Night Time Severe Cold, Cough and Flu",Benzene and substituted derivatives
"Abacavir Sulfate, Lamivudine and Zidovudine",Nucleoside and nucleotide analogues
"Abacavir Sulfate, Lamivudine and Zidovudine",Pyrimidine nucleosides
"Acetaminophen 300mg, Caffeine & Codeine",
"Acetaminophen 300mg, Caffeine & Codeine",Benzene and substituted derivatives
"Acetaminophen 300mg, Caffeine & Codeine",Morphinans
"Acetaminophen 500mg, Caffeine and 8mg Codeine Phosphate",
"Acetaminophen 500mg, Caffeine and 8mg Codeine Phosphate",Benzene and substituted derivatives
"Acetaminophen 500mg, Caffeine and 8mg Codeine Phosphate",Morphinans
"Acetaminophen, Butalbital and Caffeine",
"Acetaminophen, Butalbital and Caffeine",Benzene and substituted derivatives
"Acetaminophen, Butalbital and Caffeine",Diazines
"Acetaminophen, Caffeine & 8mg Codeine Phosphate Tablets",
