Autauga County,Autauga,Alabama,55246
Baldwin County,Baldwin,Alabama,195540
Barbour County,Barbour,Alabama,27076
Bibb County,Bibb,Alabama,22512
Blount County,Blount,Alabama,57872
Bullock County,Bullock,Alabama,10639
Butler County,Butler,Alabama,20265
Calhoun County,Calhoun,Alabama,116736
Chambers County,Chambers,Alabama,34162
Cherokee County,Cherokee,Alabama,26203
Chilton County,Chilton,Alabama,43951
Choctaw County,Choctaw,Alabama,13426
Clarke County,Clarke,Alabama,25207
Clay County,Clay,Alabama,13486
Cleburne County,Cleburne,Alabama,14994
Coffee County,Coffee,Alabama,50938
Colbert County,Colbert,Alabama,54520
Conecuh County,Conecuh,Alabama,12887
Coosa County,Coosa,Alabama,10898
Covington County,Covington,Alabama,37886
Crenshaw County,Crenshaw,Alabama,13986
Cullman County,Cullman,Alabama,80811
Dale County,Dale,Alabama,49884
Dallas County,Dallas,Alabama,41996
DeKalb County,DeKalb,Alabama,71013
Elmore County,Elmore,Alabama,80902
Escambia County,Escambia,Alabama,37983
Etowah County,Etowah,Alabama,103931
Fayette County,Fayette,Alabama,16909
Franklin County,Franklin,Alabama,31532
Geneva County,Geneva,Alabama,26727
Greene County,Greene,Alabama,8744
Hale County,Hale,Alabama,15406
Henry County,Henry,Alabama,17296
Houston County,Houston,Alabama,103668
Jackson County,Jackson,Alabama,52951
Jefferson County,Jefferson,Alabama,659479
Lamar County,Lamar,Alabama,14236
Lauderdale County,Lauderdale,Alabama,92797
Lawrence County,Lawrence,Alabama,33587
Lee County,Lee,Alabama,150933
Limestone County,Limestone,Alabama,88845
Lowndes County,Lowndes,Alabama,10703
Macon County,Macon,Alabama,19688
Madison County,Madison,Alabama,346892
Marengo County,Marengo,Alabama,20155
Marion County,Marion,Alabama,30334
Marshall County,Marshall,Alabama,94760
Mobile County,Mobile,Alabama,414079
Monroe County,Monroe,Alabama,22236
Montgomery County,Montgomery,Alabama,226659
Morgan County,Morgan,Alabama,119787
Perry County,Perry,Alabama,10020
Pickens County,Pickens,Alabama,19401
Pike County,Pike,Alabama,33339
Randolph County,Randolph,Alabama,22727
Russell County,Russell,Alabama,59585
St. Clair County,St. Clair,Alabama,86308
Shelby County,Shelby,Alabama,204180
Sumter County,Sumter,Alabama,13361
Talladega County,Talladega,Alabama,81096
Tallapoosa County,Tallapoosa,Alabama,41203
Tuscaloosa County,Tuscaloosa,Alabama,200821
Walker County,Walker,Alabama,65998
Washington County,Washington,Alabama,16877
Wilcox County,Wilcox,Alabama,11307
Winston County,Winston,Alabama,24146
Aleutians East Borough,Aleutians East Borough,Alaska,3092
Aleutians West Census Area,Aleutians West Census Area,Alaska,5511
"Anchorage, Municipality of","Anchorage, Municipality of",Alaska,300950
Bethel Census Area,Bethel Census Area,Alaska,17758
Bristol Bay Borough,Bristol Bay Borough,Alaska,960
Denali Borough,Denali Borough,Alaska,1867
Dillingham Census Area,Dillingham Census Area,Alaska,5010
Fairbanks North Star Borough,Fairbanks North Star Borough,Alaska,100436
Haines Borough,Haines Borough,Alaska,2592
Hoonah–Angoon Census Area,Hoonah–Angoon Census Area,Alaska,2145
"Juneau, City and Borough of","Juneau, City and Borough of",Alaska,32660
Kenai Peninsula Borough,Kenai Peninsula Borough,Alaska,57147
Ketchikan Gateway Borough,Ketchikan Gateway Borough,Alaska,13729
Kodiak Island Borough,Kodiak Island Borough,Alaska,14135
Lake and Peninsula Borough,Lake and Peninsula Borough,Alaska,1648
Matanuska-Susitna Borough,Matanuska-Susitna Borough,Alaska,95192
Nome Census Area,Nome Census Area,Alaska,9892
North Slope Borough,North Slope Borough,Alaska,9686
Northwest Arctic Borough,Northwest Arctic Borough,Alaska,7685
Petersburg Borough,Petersburg Borough,Alaska,3774
Prince of Wales – Hyder Census Area,Prince of Wales – Hyder Census Area,Alaska,5786
"Sitka, City and Borough of","Sitka, City and Borough of",Alaska,9020
"Skagway, Municipality of","Skagway, Municipality of",Alaska,995
Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,Alaska,6985
Valdez–Cordova Census Area,Valdez–Cordova Census Area,Alaska,9763
Kusilvak Census Area,Kusilvak Census Area,Alaska,7977
"Wrangell, City and Borough of","Wrangell, City and Borough of",Alaska,2400
"Yakutat, City and Borough of","Yakutat, City and Borough of",Alaska,642
Yukon–Koyukuk Census Area,Yukon–Koyukuk Census Area,Alaska,5695
Apache County,Apache,Arizona,71934
Cochise County,Cochise,Arizona,129473
Coconino County,Coconino,Arizona,136539
Gila County,Gila,Arizona,53053
Graham County,Graham,Arizona,37482
Greenlee County,Greenlee,Arizona,9049
La Paz County,La Paz,Arizona,20324
Maricopa County,Maricopa,Arizona,4009412
Mohave County,Mohave,Arizona,203030
Navajo County,Navajo,Arizona,107322
Pima County,Pima,Arizona,996554
Pinal County,Pinal,Arizona,389350
Santa Cruz County,Santa Cruz,Arizona,46768
Yavapai County,Yavapai,Arizona,215133
Yuma County,Yuma,Arizona,201201
Arkansas County,Arkansas,Arkansas,18777
Ashley County,Ashley,Arkansas,21283
Baxter County,Baxter,Arkansas,40957
Benton County,Benton,Arkansas,237297
Boone County,Boone,Arkansas,37396
Bradley County,Bradley,Arkansas,11249
Calhoun County,Calhoun,Arkansas,5241
Carroll County,Carroll,Arkansas,27808
Chicot County,Chicot,Arkansas,11335
Clark County,Clark,Arkansas,22743
Clay County,Clay,Arkansas,15402
Cleburne County,Cleburne,Arkansas,25686
Cleveland County,Cleveland,Arkansas,8593
Columbia County,Columbia,Arkansas,24164
Conway County,Conway,Arkansas,21245
Craighead County,Craighead,Arkansas,101488
Crawford County,Crawford,Arkansas,61640
Crittenden County,Crittenden,Arkansas,49746
Cross County,Cross,Arkansas,17548
Dallas County,Dallas,Arkansas,7933
Desha County,Desha,Arkansas,12505
Drew County,Drew,Arkansas,18785
Faulkner County,Faulkner,Arkansas,119580
Franklin County,Franklin,Arkansas,18034
Fulton County,Fulton,Arkansas,12304
Garland County,Garland,Arkansas,97173
Grant County,Grant,Arkansas,18019
Greene County,Greene,Arkansas,43097
Hempstead County,Hempstead,Arkansas,22474
Hot Spring County,Hot Spring,Arkansas,33500
Howard County,Howard,Arkansas,13581
Independence County,Independence,Arkansas,36997
Izard County,Izard,Arkansas,13368
Jackson County,Jackson,Arkansas,17615
Jefferson County,Jefferson,Arkansas,73191
Johnson County,Johnson,Arkansas,25846
Lafayette County,Lafayette,Arkansas,7252
Lawrence County,Lawrence,Arkansas,17011
Lee County,Lee,Arkansas,10015
Lincoln County,Lincoln,Arkansas,14031
Little River County,Little River,Arkansas,12730
Logan County,Logan,Arkansas,22082
Lonoke County,Lonoke,Arkansas,70753
Madison County,Madison,Arkansas,15701
Marion County,Marion,Arkansas,16430
Miller County,Miller,Arkansas,43402
