42d Medical Group,US
Alabama Department of Mental Health,US
Bryce Hospital,US
Greil Memorial Psychiatric Hospital,US
Mary Starke Harper Geriatric Psychiatry Center,US
North Alabama Regional Hospital,US
Searcy Hospital,US
Taylor Hardin Secure Medical Facility,US
Andalusia Regional Hospital,US
Athens-Limestone Hospital,US
Atmore Community Hospital,US
Baptist Health,US
Baptist Medical Center East,US
Baptist Medical Center South,US
Montgomery Surgical Center,US
Prattville Baptist Hospital,US
Baptist Health Care,US
Atmore Community Hospital,US
D.W. McMillan Memorial Hospital,US
Baptist Health System,US
Citizens Baptist Medical Center,US
Princeton Baptist Medical Center,US
Shelby Baptist Medical Center,US
Walker Baptist Medical Center,US
Baptist Medical Center East,US
Baptist Medical Center South,US
Bibb Medical Center,US
Big Springs Specialty Care Center,US
Birmingham VA Medical Center,US
Bradford Health Services,US
Brookwood Medical Center,US
Bryan W. Whitfield Memorial Hospital,US
Bryce Hospital,US
Bullock County Hospital,US
Burdick-West Medical Center,US
Callahan Eye Foundation Hospital,US
Carraway Burdick West Medical Center,US
Carraway Methodist Health Systems,US
Carraway Burdick West Medical Center,US
Carraway Methodist Medical Center,US
Carraway Northwest Medical Center,US
Carraway Methodist Medical Center,US
Carraway Northwest Medical Center,US
Central Alabama Veterans Health Care System East Campus,US
Central Alabama Veterans Health Care System West Campus,US
Cherokee Medical Center,US
Children's Health System,US
Chilton Medical Center,US
Citizens Baptist Medical Center,US
Clay County Hospital,US
Colbert County Northwest Alabama Health Care Authority,US
Helen Keller Hospital,US
North Alabama Sleep Disorders Center,US
Red Bay Hospital,US
Coffee Health Group,US
Eliza Coffee Memorial Hospital,US
Shoals Hospital,US
Community Health Systems,US
Cherokee Medical Center,US
Crestwood Medical Center,US
DeKalb Regional Medical Center,US
Flowers Hospital,US
Gadsden Regional Medical Center,US
L V Stabler Memorial Hospital,US
Medical Center Enterprise,US
South Baldwin Regional Medical Center,US
Trinity Medical Center,US
Community Hospital,US
Cooper Green Hospital,US
Coosa Valley Medical Center,US
Crenshaw Community Hospital,US
Crestwood Medical Center,US
Cullman Regional Medical Center,US
Dale Medical Center,US
DCH Health System,US
DCH Regional Medical Center,US
Fayette Medical Center,US
Northport Medical Center,US
Pickens County Medical Center,US
DCH Regional Medical Center,US
Decatur General Hospital,US
Decatur General West Behavioral Medical Center,US
Decatur General West Behavioral Medical Center,US
DeKalb Regional Medical Center,US
D.W. McMillan Memorial Hospital,US
East Alabama Medical Center,US
Eastern Health System,US
Medical Center Blount,US
Medical Center East,US
Saint Clair Regional Hospital,US
Elba Healthcare,US
Eliza Coffee Memorial Hospital,US
Elmore Community Hospital,US
Evergreen Medical Center,US
Fayette Medical Center,US
Florala Memorial Hospital,US
Flowers Hospital,US
Fox Army Health Center,US
Gadsden Regional Medical Center,US
Georgiana Hospital,US
Greene County Hospital,US
Greil Memorial Psychiatric Hospital,US
Grove Hill Memorial Hospital,US
Hale County Hospital,US
Hartselle Medical Center,US
Health Management Associates (HMA),US
Riverview Regional Medical Center,US
Stringfellow Memorial Hospital,US
HealthSouth Lakeshore Rehab Hospital,US
HealthSouth Medical Center,US
HealthSouth Metro-West,US
HealthSouth Rehab Hospital,US
HealthSouth Rehab Hospital of Gadsden,US
HealthSouth Rehab Hospital of Montgomery,US
HealthSouth Rehab Hospital of North Alabama,US
Helen Keller Hospital,US
Hill Crest Behavioral Health Services,US
Sumter County,US
Huntsville Hospital,US
Jackson County Hospital,US
Jackson Hospital,US
Jackson Medical Center,US
Jacksonville Medical Center,US
Wilcox County,US
Kindred Healthcare,US
Big Springs Specialty Care Center,US
Kindred HealthCare Center of Mobile,US
Rehabilitation and Healthcare Center of Birmingham,US
Whitesburg Gardens Health Care Center,US
Kindred HealthCare Center of Mobile,US
L V Stabler Memorial Hospital,US
Lake Martin Community Hospital,US
Lakeland Community Hospital,US
Lakeview Community Hospital,US
Lanier Hospital & Health Services,US
Laurel Oaks Behavioral Health Center,US
Lawrence County,US
LifePoint Hospitals,US
Andalusia Regional Hospital,US
Lakeland Community Hospital,US
Northwest Medical Center,US
Russellville Hospital,US
Vaughan Regional Medical Center,US
Lyster Army Hospital,US
Marshall Medical Centers,US
Mary Starke Harper Geriatric Psychiatry Center,US
Medical Center Blount,US
Medical Center East,US
Medical Center Enterprise,US
